Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Congo, Dem. Rep.",COD,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027304456,,,,,,,,,,0.02725094,,,,,,,,,,,,,,,0.02725763,,,,,,,,
"Congo, Rep.",COG,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2326549,,,,,,,,,,0.232466615,,,,,,,,,,,,,,,0.232153981,,,,,,,,
Colombia,COL,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.125564579,,,,,,,,,,1.124592215,,,,,,,,,,,,,,,1.123441261,,,,,,,,
Comoros,COM,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.698313922,,,,,,,,,,3.656984494,,,,,,,,,,,,,,,3.373195337,,,,,,,,
Cabo Verde,CPV,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.329584729,,,,,,,,,,5.323876138,,,,,,,,,,,,,,,5.31020672,,,,,,,,
Costa Rica,CRI,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.892830212,,,,,,,,,,2.887026033,,,,,,,,,,,,,,,2.873073752,,,,,,,,
Caribbean small states,CSS,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.579106476,,,,,,,,,,7.557100216,,,,,,,,,,,,,,,7.534036284,,,,,,,,
Cuba,CUB,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.85195395,,,,,,,,,,14.84671932,,,,,,,,,,,,,,,14.8410389,,,,,,,,
Curacao,CUW,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.715161465,,,,,,,,,,6.610253453,,,,,,,,,,,,,,,6.414900912,,,,,,,,
Cayman Islands,CYM,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.21599503,,,,,,,,,,51.45259223,,,,,,,,,,,,,,,49.38891314,,,,,,,,
Cyprus,CYP,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.858707719,,,,,,,,,,1.834451467,,,,,,,,,,,,,,,1.799449901,,,,,,,,
Czechia,CZE,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,
Germany,DEU,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.084697179,,,,,,,,,,3.06760902,,,,,,,,,,,,,,,3.070478147,,,,,,,,
Djibouti,DJI,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.727812978,,,,,,,,,,0.72615299,,,,,,,,,,,,,,,0.70977202,,,,,,,,
